ti:	 exported from NMRproc 
##freq 99.9768
63677.7	-0.000397552
63672.7	-0.000342933
63667.6	-0.000357088
63662.6	-0.000445908
63657.6	-0.000608605
63652.6	-0.000837892
63647.6	-0.00112061
63642.6	-0.00143878
63637.6	-0.0017709
63632.6	-0.00209344
63627.6	-0.00238255
63622.6	-0.00261559
63617.6	-0.00277278
63612.6	-0.00283861
63607.6	-0.00280307
63602.6	-0.00266258
63597.6	-0.00242053
63592.6	-0.00208742
63587.6	-0.00168049
63582.6	-0.00122284
63577.6	-0.000741997
63572.6	-0.00026809
63567.6	0.000168449
63562.6	0.0005393
63557.6	0.000820762
63552.6	0.00099606
63547.6	0.00105722
63542.6	0.00100628
63537.6	0.000855799
63532.6	0.000628283
63527.6	0.000354816
63522.6	7.27373e-05
63517.6	-0.000177342
63512.6	-0.000354996
63507.6	-0.000423544
63502.6	-0.000353417
63497.5	-0.000124961
63492.5	0.00026961
63487.5	0.000825339
63482.5	0.00152476
63477.5	0.00233937
63472.5	0.00323203
63467.5	0.00416016
63462.5	0.00507933
63457.5	0.00594688
63452.5	0.0067252
63447.5	0.00738432
63442.5	0.00790355
63437.5	0.00827209
63432.5	0.00848851
63427.5	0.00855937
63422.5	0.00849712
63417.5	0.00831761
63412.5	0.00803765
63407.5	0.00767287
63402.5	0.00723628
63397.5	0.0067376
63392.5	0.00618353
63387.5	0.00557877
63382.5	0.00492772
63377.5	0.00423647
63372.5	0.00351475
63367.5	0.00277746
63362.5	0.00204545
63357.5	0.00134539
63352.5	0.000708554
63347.5	0.000168635
63342.5	-0.000241279
63337.5	-0.00049211
63332.5	-0.000562266
63327.5	-0.000440672
63322.4	-0.000128947
63317.4	0.000357628
63312.4	0.000990548
63307.4	0.00172995
63302.4	0.0025278
63297.4	0.00333201
63292.4	0.0040911
63287.4	0.00475884
63282.4	0.00529825
63277.4	0.00568461
63272.4	0.00590699
63267.4	0.00596821
63262.4	0.00588314
63257.4	0.00567567
63252.4	0.0053747
63247.4	0.0050098
63242.4	0.00460696
63237.4	0.00418528
63232.4	0.00375483
63227.4	0.00331628
63222.4	0.00286206
63217.4	0.00237925
63212.4	0.00185354
63207.4	0.00127386
63202.4	0.000636835
63197.4	-4.95378e-05
63192.4	-0.000763778
63187.4	-0.00147074
63182.4	-0.00212373
63177.4	-0.00266876
63172.4	-0.00305071
63167.4	-0.00322061
63162.4	-0.00314325
63157.4	-0.00280414
63152.4	-0.00221477
63147.3	-0.00141534
63142.3	-0.000474307
63137.3	0.000515518
63132.3	0.00144419
63127.3	0.00219464
63122.3	0.00265464
63117.3	0.00272937
63112.3	0.00235337
63107.3	0.0015003
63102.3	0.000189534
63097.3	-0.0015117
63092.3	-0.0034909
63087.3	-0.00559776
63082.3	-0.00765596
63077.3	-0.00947834
63072.3	-0.010884
63067.3	-0.0117158
63062.3	-0.0118561
63057.3	-0.0112396
63052.3	-0.00986153
63047.3	-0.00778049
63042.3	-0.00511505
63037.3	-0.00203501
63032.3	0.00125252
63027.3	0.00452049
63022.3	0.00754131
63017.3	0.0101063
63012.3	0.0120432
63007.3	0.0132304
63002.3	0.013606
62997.3	0.0131715
62992.3	0.0119892
62987.3	0.0101751
62982.3	0.00788572
62977.3	0.00530338
62972.2	0.00261882
62967.2	1.46527e-05
62962.2	-0.00234942
62957.2	-0.0043481
62952.2	-0.00589768
62947.2	-0.00695856
62942.2	-0.00753316
62937.2	-0.00765977
62932.2	-0.00740337
62927.2	-0.00684482
62922.2	-0.0060696
62917.2	-0.00515768
62912.2	-0.00417547
62907.2	-0.00317078
62902.2	-0.00217106
62897.2	-0.0011849
62892.2	-0.000206309
62887.2	0.000779109
62882.2	0.00178707
62877.2	0.00282774
62872.2	0.00390013
62867.2	0.00498859
62862.2	0.00606187
62857.2	0.00707493
62852.2	0.00797317
62847.2	0.00869867
62842.2	0.00919732
62837.2	0.00942609
62832.2	0.00935934
62827.2	0.00899325
62822.2	0.00834781
62817.2	0.00746602
62812.2	0.00641038
